項目,内容
テンプレ,スプリントボード
ボード_目標,フロントエンドのみの対話式プロトタイプで表示機能（ツリー・ビューア・比較・切替）の画面/動作イメージを固める（モックデータ・認証/既存連携は対象外）
ボード_期間,{{未定・チームで設定}}
T1_内容,モック文書データ・サンプルPDF/画像の作成
T1_担当,AI
T1_種別,AI
T1_見積,3
T1_状態,完了
T1_仕様メモ,docs/03_計画・設計/モック文書データ.md
T2_内容,フロントエンドプロジェクトの初期構築（Vite + React + TypeScript）
T2_担当,AI
T2_種別,AI
T2_見積,1
T2_状態,完了
T2_仕様メモ,docs/03_計画・設計/概要_文書承認ビューアMVP.md
T3_内容,文書ツリー表示UIの実装
T3_担当,AI
T3_種別,AI
T3_見積,3
T3_状態,完了
T3_仕様メモ,docs/03_計画・設計/文書ツリー表示UI.md
T4_内容,文書ビューア（PDF/画像 単票表示）の実装
T4_担当,AI
T4_種別,AI
T4_見積,5
T4_状態,完了
T4_仕様メモ,docs/03_計画・設計/文書ビューア（PDF・画像 単票表示）.md
T5_内容,2文書比較表示（分割ビュー）の実装
T5_担当,AI
T5_種別,AI
T5_見積,3
T5_状態,完了
T5_仕様メモ,docs/03_計画・設計/2文書比較表示（分割ビュー）.md
T6_内容,関連文書のスムーズな切替の実装 → いったん却下 → 3回目フィードバックで復活・再実装
T6_担当,AI
T6_種別,AI
T6_見積,3
T6_状態,完了
T6_仕様メモ,docs/03_計画・設計/関連文書のスムーズな切替.md
T7_内容,プロトタイプをブラウザで通し確認し、ユーザーへ画面イメージのフィードバックをもらう（1回目）
T7_担当,ユーザー（柏木様）
T7_種別,人
T7_見積,1
T7_状態,完了
T7_仕様メモ,docs/03_計画・設計/概要_文書承認ビューアMVP.md
T8_内容,フィードバック反映：前後切替ボタン削除・ビューア拡大・ダウンロード機能追加
T8_担当,AI
T8_種別,AI
T8_見積,3
T8_状態,完了
T8_仕様メモ,docs/03_計画・設計/ファイルダウンロード機能.md
T9_内容,3文書並び表示（2〜3ペイン切替）とツリー折りたたみの実装
T9_担当,AI
T9_種別,AI
T9_見積,3
T9_状態,完了
T9_仕様メモ,docs/03_計画・設計/2文書比較表示（分割ビュー）.md
T10_内容,PDFビューアに「幅に合わせる」ボタンを追加（画像ビューアにしかなかった実装漏れの修正）・初回自動フィット
T10_担当,AI
T10_種別,AI
T10_見積,3
T10_状態,完了
T10_仕様メモ,docs/03_計画・設計/文書ビューア（PDF・画像 単票表示）.md
T11_内容,前後移動ボタンをヘッダー行に組み込む形で復活（表示領域を変えずに追加）
T11_担当,AI
T11_種別,AI
T11_見積,3
T11_状態,完了
T11_仕様メモ,docs/03_計画・設計/関連文書のスムーズな切替.md
T12_内容,タブレット・スマホでの表示確認（Playwrightで各ビューポート検証）→ 対応不要と確認、実装なし
T12_担当,AI
T12_種別,AI
T12_見積,1
T12_状態,完了
T12_仕様メモ,docs/03_計画・設計/概要_文書承認ビューアMVP.md
T13_内容,文書メタ情報表示機能の実装（型定義・パネルUI・検索・入れ子/明細描画・モックデータ）
T13_担当,AI
T13_種別,AI
T13_見積,5
T13_状態,完了
T13_仕様メモ,docs/03_計画・設計/文書メタ情報表示.md
T14_内容,伝票情報パネルの表示名変更（メタ情報 → 伝票情報）
T14_担当,AI
T14_種別,AI
T14_見積,1
T14_状態,完了
T14_仕様メモ,docs/03_計画・設計/文書メタ情報表示.md
T15_内容,タブレット対応の方針転換（不要→最低限対応）：ツリー幅の自動調整・ドラッグリサイズの実装
T15_担当,AI
T15_種別,AI
T15_見積,3
T15_状態,完了
T15_仕様メモ,docs/03_計画・設計/タブレット表示対応・ツリー幅調整.md
バランス_偏りなし,実装はAIが土台を作り、最終確認・フィードバック収集は人が行う
バランス_担当見積,全タスク完了。次は人によるプロトタイプ確認（5回目）待ち
バランス_線引き,✓（UX判断のフィードバックは人、実装骨格はAI）
